07 07 07 07 07 07 07 07 07 07 07 07 07 07 07 07 07 07 07 07 07 07 07
07 07 07 07 07 07 07 07 07 07 07 07 07 07 07 07 07 07 07 07 07 07 07
07 07 07 07 07 07 07 07 07 07 07 07 07 07 07 07 07 07 07 07 07 07 07
07 07 07 03 03 03 03 03 03 03 03 03 03 03 03 03 03 03 03 03 07 07 07
07 07 07 03 11 11 11 11 11 11 11 11 11 11 11 05 05 05 17 03 07 07 07
07 07 07 03 11 11 11 11 11 11 11 11 01 01 11 11 05 09 05 03 07 07 07
07 07 07 03 11 07 07 07 07 07 07 07 01 01 01 05 09 05 06 03 07 07 07
07 07 07 03 11 08 08 06 06 06 06 06 01 01 05 05 09 08 06 03 07 07 07
07 07 07 03 11 14 06 08 15 05 05 13 06 05 05 09 05 06 05 03 07 07 07
07 07 07 03 11 08 06 08 07 05 05 07 06 05 09 05 06 08 06 03 07 07 07
07 07 07 03 11 07 07 06 18 05 05 07 06 09 05 06 07 08 06 03 07 07 07
07 07 07 03 11 07 12 06 05 07 07 07 06 05 09 05 05 05 06 03 07 07 07
07 07 07 03 11 05 05 06 07 07 23 08 06 05 05 06 07 05 22 03 07 07 07
07 07 07 03 11 05 11 11 06 06 06 06 07 05 05 05 07 05 05 03 07 07 07
07 07 07 03 11 11 11 11 11 11 11 11 11 11 05 05 05 05 11 03 07 07 07
07 07 07 03 03 03 03 03 03 03 03 03 03 03 03 03 03 03 03 03 07 07 07
07 07 07 07 07 07 07 07 07 07 07 07 07 07 07 07 07 07 07 07 07 07 07
07 07 07 07 07 07 07 07 07 07 07 07 07 07 07 07 07 07 07 07 07 07 07
07 07 07 07 07 07 07 07 07 07 07 07 07 07 07 07 07 07 07 07 07 07 07






